City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Kruisfontein,ZA,2020-06-27 04:51:42,-34.0,24.73,47.64,62,0,11.34
70,Hasaki,JP,2020-06-27 04:51:42,35.73,140.83,86.0,74,75,6.93
71,Bambous Virieux,MU,2020-06-27 04:51:42,-20.34,57.76,72.0,94,40,13.87
72,Kitui,KE,2020-06-27 04:51:42,-1.37,38.01,64.96,83,68,4.65
73,Hithadhoo,MV,2020-06-27 04:51:42,-0.6,73.08,84.4,72,96,4.34
74,San Luis De La Paz,MX,2020-06-27 04:51:42,21.3,-100.52,66.0,100,90,5.44
75,Diffa,NE,2020-06-27 04:51:42,13.32,12.61,81.34,53,94,12.37
76,Odlabari,IN,2020-06-27 04:51:42,26.83,88.62,86.14,73,100,6.4
77,Riyadh,SA,2020-06-27 04:49:48,24.69,46.72,86.0,20,0,3.36
78,San Carlos De Bariloche,AR,2020-06-27 04:51:42,-41.15,-71.31,28.4,79,90,8.05
79,Marawi,PH,2020-06-27 04:51:42,8.0,124.29,84.0,78,100,8.01
80,Saint Anthony,US,2020-06-27 04:51:43,45.02,-93.22,75.2,53,1,4.7
81,Conakry,GN,2020-06-27 04:51:43,9.54,-13.68,79.68,80,49,2.66
82,Bluff,NZ,2020-06-27 04:51:43,-46.6,168.33,39.0,83,84,3.0
83,Wattegama,LK,2020-06-27 04:51:43,6.8,81.48,88.25,54,81,5.46
84,Punta Arenas,CL,2020-06-27 04:49:02,-53.15,-70.92,26.6,92,0,8.05
85,Yellowknife,CA,2020-06-27 04:48:05,62.46,-114.35,62.01,59,20,4.7
86,Provideniya,RU,2020-06-27 04:51:43,64.38,-173.3,40.96,74,100,22.01
87,Zhigansk,RU,2020-06-27 04:51:43,66.77,123.37,78.75,31,61,6.31
88,Lyubech,UA,2020-06-27 04:51:43,51.7,30.66,69.44,72,0,2.13
89,Goundam,ML,2020-06-27 04:51:43,16.41,-3.67,90.39,24,16,8.66
90,Lebu,CL,2020-06-27 04:51:43,-37.62,-73.65,49.35,92,32,12.28
91,Arandis,NA,2020-06-27 04:51:43,-22.42,14.97,50.0,93,0,0.65
92,Petropavlovsk-Kamchatskiy,RU,2020-06-27 04:51:43,53.05,158.65,78.8,47,20,15.66
93,Esperance,AU,2020-06-27 04:51:43,-33.87,121.9,69.8,49,0,14.99
94,Sangar,RU,2020-06-27 04:51:43,63.92,127.47,83.1,30,38,2.42
95,Aripuana,BR,2020-06-27 04:50:39,-9.17,-60.63,74.77,71,97,0.69
96,Devarkonda,IN,2020-06-27 04:51:43,16.7,78.93,90.77,50,84,4.83
97,Severo-Kurilsk,RU,2020-06-27 04:51:43,50.68,156.12,53.67,58,74,10.8
98,Albany,US,2020-06-27 04:51:05,42.6,-73.97,66.99,96,1,4.07
99,Upernavik,GL,2020-06-27 04:51:44,72.79,-56.15,36.64,88,99,5.23
100,Lethem,GY,2020-06-27 04:51:44,3.38,-59.8,75.27,86,83,6.53
101,Tiznit,MA,2020-06-27 04:51:44,29.58,-9.5,66.06,58,0,1.39
102,Waddan,LY,2020-06-27 04:51:44,29.16,16.14,69.51,61,0,6.64
103,Tiksi,RU,2020-06-27 04:51:44,71.69,128.87,63.25,51,78,8.01
104,Port Alfred,ZA,2020-06-27 04:51:44,-33.59,26.89,54.0,67,0,3.0
105,Norman Wells,CA,2020-06-27 04:51:44,65.28,-126.83,69.8,40,20,11.41
106,Ribeira Grande,PT,2020-06-27 04:51:44,38.52,-28.7,66.18,94,89,7.09
107,Sitka,US,2020-06-27 04:51:44,57.05,-135.33,51.8,100,90,6.93
108,Karauli,IN,2020-06-27 04:51:44,26.5,77.02,98.73,39,48,15.19
109,Ostrovnoy,RU,2020-06-27 04:51:44,68.05,39.51,46.9,87,96,17.0
110,Carupano,VE,2020-06-27 04:51:44,10.67,-63.26,77.05,87,35,9.22
111,Cidreira,BR,2020-06-27 04:51:45,-30.18,-50.21,50.95,62,100,4.54
112,Livingston,GB,2020-06-27 04:51:45,55.9,-3.52,55.99,100,40,1.12
113,New Norfolk,AU,2020-06-27 04:51:45,-42.78,147.06,54.0,84,91,1.72
114,Asosa,ET,2020-06-27 04:51:45,10.07,34.53,65.75,91,20,1.81
115,Ancud,CL,2020-06-27 04:51:45,-41.87,-73.82,45.0,80,90,3.36
116,Knysna,ZA,2020-06-27 04:51:45,-34.04,23.05,57.2,44,0,25.28
117,Saint George,US,2020-06-27 04:51:45,37.1,-113.58,93.2,14,1,6.93
118,Salalah,OM,2020-06-27 04:51:45,17.02,54.09,82.83,85,89,7.54
119,San Patricio,MX,2020-06-27 04:48:12,19.22,-104.7,76.42,87,100,3.33
120,Avarua,CK,2020-06-27 04:51:45,-21.21,-159.78,71.6,73,10,5.82
121,Narsaq,GL,2020-06-27 04:51:45,60.92,-46.05,46.4,81,82,3.36
122,Constitucion,CL,2020-06-27 04:48:04,-35.33,-72.42,50.83,81,97,10.63
123,Qaanaaq,GL,2020-06-27 04:51:45,77.48,-69.36,37.6,78,4,4.76
124,Pevek,RU,2020-06-27 04:51:45,69.7,170.31,31.1,98,67,18.9
125,Berbera,SO,2020-06-27 04:51:45,10.44,45.01,93.29,41,40,25.41
126,Oktyabrskiy,RU,2020-06-27 04:51:45,54.48,53.47,55.2,86,96,7.0
127,Belle Fourche,US,2020-06-27 04:51:46,44.67,-103.85,71.01,58,0,10.27
128,College,US,2020-06-27 04:51:46,64.86,-147.8,64.4,55,75,6.93
129,Broome,US,2020-06-27 04:51:46,42.25,-75.83,60.01,100,35,2.89
130,Noshiro,JP,2020-06-27 04:51:46,40.2,140.02,69.8,94,75,10.29
131,Turka,UA,2020-06-27 04:51:46,49.15,23.03,66.99,85,54,7.23
132,Arraial Do Cabo,BR,2020-06-27 04:51:46,-22.97,-42.03,70.03,90,41,6.22
133,Dikson,RU,2020-06-27 04:51:46,73.51,80.55,37.13,85,98,27.22
134,Payo,ID,2020-06-27 04:51:46,-3.75,103.64,87.21,60,92,4.5
135,Virden,US,2020-06-27 04:51:46,39.5,-89.77,80.6,78,1,8.05
136,Patan,NP,2020-06-27 04:51:46,27.67,85.33,80.6,74,40,3.36
137,Kurchum,KZ,2020-06-27 04:51:46,48.57,83.65,84.52,21,92,8.63
138,Mangochi,MW,2020-06-27 04:51:46,-14.48,35.26,65.32,69,18,3.8
139,Mountain Home,US,2020-06-27 04:47:25,43.13,-115.69,84.2,23,1,9.17
140,Zaraysk,RU,2020-06-27 04:51:46,54.77,38.88,69.01,70,0,3.0
141,Cape Town,ZA,2020-06-27 04:48:07,-33.93,18.42,60.01,87,75,26.4
142,Klaksvik,FO,2020-06-27 04:51:46,62.23,-6.59,53.6,93,95,14.99
143,Kabalo,CD,2020-06-27 04:51:46,-6.05,26.92,70.5,63,58,0.4
144,Robertson,US,2020-06-27 04:51:47,36.52,-86.87,73.4,94,75,9.17
145,Douentza,ML,2020-06-27 04:51:47,15.0,-2.95,90.09,31,16,9.48
146,Port Elizabeth,ZA,2020-06-27 04:50:18,-33.92,25.57,50.0,66,0,8.05
147,Saskylakh,RU,2020-06-27 04:51:47,71.92,114.08,80.28,32,51,7.31
148,Kinsale,IE,2020-06-27 04:51:47,51.71,-8.53,55.99,100,75,6.93
149,Solnechnyy,RU,2020-06-27 04:51:47,50.72,136.63,72.95,42,87,6.91
150,Gimli,CA,2020-06-27 04:51:47,50.63,-96.99,66.99,80,35,3.0
151,Kalmunai,LK,2020-06-27 04:51:47,7.42,81.82,85.71,60,61,3.04
152,Karratha,AU,2020-06-27 04:51:47,-20.74,116.85,80.02,19,0,15.7
153,Rawson,AR,2020-06-27 04:51:47,-43.3,-65.1,36.82,82,38,12.17
154,Hobart,AU,2020-06-27 04:49:47,-42.88,147.33,54.0,62,40,8.05
155,Guerrero Negro,MX,2020-06-27 04:51:47,27.98,-114.06,64.45,88,0,12.71
156,Ballina,AU,2020-06-27 04:51:47,-28.87,153.57,62.6,82,75,12.75
157,Keetmanshoop,NA,2020-06-27 04:51:47,-26.58,18.13,42.8,71,0,8.05
158,Cape Canaveral,US,2020-06-27 04:46:57,28.41,-80.6,82.99,88,1,4.7
159,Kalanguy,RU,2020-06-27 04:51:48,51.02,116.52,74.71,42,56,3.44
160,Jiuquan,CN,2020-06-27 04:51:48,39.74,98.52,77.36,27,61,17.58
161,Kapuskasing,CA,2020-06-27 04:51:48,49.42,-82.43,62.6,100,90,8.05
162,Faya,SA,2020-06-27 04:51:48,18.39,42.45,75.2,27,44,4.7
163,Manavalakurichi,IN,2020-06-27 04:51:48,8.13,77.3,80.6,88,75,11.41
164,Castro,BR,2020-06-27 04:51:48,-24.79,-50.01,51.66,97,100,8.3
165,Bredasdorp,ZA,2020-06-27 04:51:48,-34.53,20.04,55.4,62,14,16.11
166,Portland,US,2020-06-27 04:49:02,45.52,-122.68,75.0,65,73,6.69
167,Banda Aceh,ID,2020-06-27 04:51:48,5.56,95.32,85.42,65,48,5.03
168,Yarmouth,US,2020-06-27 04:51:48,41.71,-70.23,71.6,78,1,8.05
169,Whitefish,US,2020-06-27 04:51:48,48.41,-114.34,71.6,53,1,3.36
170,Namibe,AO,2020-06-27 04:51:48,-15.2,12.15,63.81,74,0,3.78
171,Shakawe,BW,2020-06-27 04:51:48,-18.37,21.85,47.1,54,0,3.0
172,Kjopsvik,NO,2020-06-27 04:51:49,68.1,16.37,54.0,76,77,14.99
173,Tonstad,NO,2020-06-27 04:51:49,58.66,6.72,70.0,75,2,4.0
174,Itaituba,BR,2020-06-27 04:51:49,-4.28,-55.98,75.02,80,55,1.36
175,Formosa,AR,2020-06-27 04:51:49,-26.18,-58.18,46.4,87,93,5.82
176,Khatanga,RU,2020-06-27 04:51:49,71.97,102.5,66.88,51,64,6.58
177,Cockburn Town,TC,2020-06-27 04:51:49,21.46,-71.14,82.45,82,30,19.51
178,Gurupi,BR,2020-06-27 04:51:49,-11.73,-49.07,75.58,55,33,3.11
179,Hays,US,2020-06-27 04:51:49,30.05,-98.03,75.99,84,49,1.01
180,Narrabri,AU,2020-06-27 04:51:49,-30.32,149.78,64.4,45,75,3.36
181,Nettuno,IT,2020-06-27 04:51:49,41.48,12.68,68.0,76,0,1.99
182,Lakes Entrance,AU,2020-06-27 04:51:49,-37.88,147.98,55.0,59,12,3.0
183,Sinazongwe,ZM,2020-06-27 04:51:49,-17.26,27.46,61.32,80,4,4.12
184,Kharan,PK,2020-06-27 04:51:49,28.58,65.42,93.72,26,0,7.94
185,Magistralnyy,RU,2020-06-27 04:51:49,56.17,107.45,85.41,29,4,4.45
186,Homer,US,2020-06-27 04:51:50,59.64,-151.55,52.0,76,20,14.99
187,Butaritari,KI,2020-06-27 04:51:50,3.07,172.79,83.41,75,82,11.14
188,Socorro,US,2020-06-27 04:51:50,31.65,-106.3,82.99,30,75,8.05
189,Baruun-Urt,MN,2020-06-27 04:51:50,46.68,113.28,77.16,35,0,5.19
190,Teguldet,RU,2020-06-27 04:51:50,57.31,88.17,81.07,44,0,8.61
191,Qui Nhon,VN,2020-06-27 04:51:50,13.77,109.23,88.34,63,63,12.8
192,Mar Del Plata,AR,2020-06-27 04:47:06,-38.0,-57.56,44.01,93,85,3.36
193,Lokosovo,RU,2020-06-27 04:51:50,61.13,74.82,53.78,76,84,3.18
194,Middelburg,ZA,2020-06-27 04:51:50,-25.78,29.46,42.19,69,0,7.47
195,Aksarka,RU,2020-06-27 04:51:50,66.56,67.8,49.3,81,100,6.06
196,Tuktoyaktuk,CA,2020-06-27 04:51:50,69.45,-133.04,35.6,93,90,17.22
197,Lagos,NG,2020-06-27 04:51:09,6.58,3.75,73.4,100,40,4.7
198,Sao Jose Da Coroa Grande,BR,2020-06-27 04:51:51,-8.9,-35.15,74.59,82,96,8.59
199,Manakara,MG,2020-06-27 04:51:51,-22.13,48.02,67.05,92,7,2.77
200,Colares,PT,2020-06-27 04:51:51,38.8,-9.45,68.0,96,46,5.68
201,Coquimbo,CL,2020-06-27 04:51:51,-29.95,-71.34,50.0,93,2,9.17
202,Sao Felix Do Xingu,BR,2020-06-27 04:51:51,-6.64,-51.99,68.47,86,11,1.07
203,Salinas,US,2020-06-27 04:51:51,36.68,-121.66,62.6,77,90,10.29
204,Cehal,RO,2020-06-27 04:51:51,47.38,22.6,68.0,88,88,3.36
205,Menongue,AO,2020-06-27 04:51:51,-14.66,17.69,43.29,63,0,3.13
206,Kahului,US,2020-06-27 04:51:51,20.89,-156.47,84.2,54,40,19.46
207,Gumdag,TM,2020-06-27 04:51:51,39.21,54.59,83.57,15,2,14.14
208,Lamu,KE,2020-06-27 04:51:51,-2.27,40.9,78.31,82,26,15.82
209,Chapada Dos Guimaraes,BR,2020-06-27 04:50:06,-15.46,-55.75,69.8,88,75,6.93
210,Kibuye,RW,2020-06-27 04:51:52,-2.06,29.35,65.59,71,87,2.77
211,Poum,NC,2020-06-27 04:51:52,-20.23,164.02,71.49,63,3,9.95
212,Dingle,PH,2020-06-27 04:51:52,11.0,122.67,90.01,60,94,3.49
213,Mangrol,IN,2020-06-27 04:51:52,21.12,70.12,88.16,67,59,11.5
214,Half Moon Bay,US,2020-06-27 04:48:10,37.46,-122.43,66.2,72,1,6.93
215,Inverness,GB,2020-06-27 04:51:52,57.48,-4.22,57.2,100,90,1.12
216,Kavaratti,IN,2020-06-27 04:51:52,10.57,72.64,82.4,78,75,9.17
217,Makakilo City,US,2020-06-27 04:51:52,21.35,-158.09,84.2,54,1,8.05
218,Manaus,BR,2020-06-27 04:50:42,-3.1,-60.02,80.6,88,40,3.36
219,Codajas,BR,2020-06-27 04:51:52,-3.84,-62.06,75.13,83,16,2.01
220,Ilek,RU,2020-06-27 04:51:52,51.53,53.38,62.24,66,59,7.85
221,Nhulunbuy,AU,2020-06-27 04:51:52,-12.23,136.77,80.6,74,90,13.87
222,Sokolow Podlaski,PL,2020-06-27 04:51:53,52.41,22.25,71.01,66,11,12.75
223,Kurilsk,RU,2020-06-27 04:51:53,45.23,147.88,50.34,89,100,11.52
224,Bremervorde,DE,2020-06-27 04:51:53,53.48,9.13,69.01,84,3,6.58
225,Neuquen,AR,2020-06-27 04:51:53,-38.95,-68.06,32.0,93,90,3.36
226,Lasa,IT,2020-06-27 04:51:53,46.62,10.7,55.0,100,5,3.36
227,Lorengau,PG,2020-06-27 04:51:53,-2.02,147.27,85.48,71,100,10.04
228,Burnie,AU,2020-06-27 04:51:53,-41.07,145.92,54.0,57,44,5.01
229,Saldanha,ZA,2020-06-27 04:51:53,-33.01,17.94,59.0,67,75,18.34
230,Hermitage,US,2020-06-27 04:51:53,41.23,-80.45,72.0,73,75,9.17
231,Biak,ID,2020-06-27 04:51:53,-0.91,122.88,77.95,84,100,5.79
232,Hamilton,US,2020-06-27 04:48:49,39.18,-84.53,78.8,61,1,10.29
233,Veraval,IN,2020-06-27 04:51:54,20.9,70.37,88.34,66,57,11.07
234,Bethel,US,2020-06-27 04:51:54,41.37,-73.41,64.99,77,1,3.36
235,Camacha,PT,2020-06-27 04:51:54,33.08,-16.33,68.0,88,40,5.82
236,Tessalit,ML,2020-06-27 04:51:54,20.2,1.01,87.69,12,0,7.2
237,Tutoia,BR,2020-06-27 04:51:54,-2.76,-42.27,75.85,84,56,7.18
238,Lavrentiya,RU,2020-06-27 04:51:54,65.58,-171.0,42.39,72,84,28.36
239,Murray Bridge,AU,2020-06-27 04:51:54,-35.12,139.27,62.01,53,0,4.56
240,Vila,PT,2020-06-27 04:51:54,42.03,-8.16,60.01,95,95,4.54
241,Nicoya,CR,2020-06-27 04:51:54,10.15,-85.45,75.11,87,97,2.95
242,Nazca,PE,2020-06-27 04:51:54,-14.83,-74.95,59.58,65,0,2.3
243,Gat,IL,2020-06-27 04:51:54,31.61,34.76,75.0,43,0,1.99
244,Port-Gentil,GA,2020-06-27 04:51:55,-0.72,8.78,73.26,83,29,11.27
245,Orlik,RU,2020-06-27 04:51:55,52.52,99.83,70.75,45,91,1.34
246,Tyukalinsk,RU,2020-06-27 04:51:55,55.87,72.2,55.94,74,98,17.0
247,Luderitz,NA,2020-06-27 04:51:55,-26.65,15.16,51.8,71,0,12.75
248,Henties Bay,NA,2020-06-27 04:51:55,-22.12,14.28,50.0,93,0,11.99
249,Huilong,CN,2020-06-27 04:51:55,31.81,121.66,78.01,99,100,1.92
250,Eyl,SO,2020-06-27 04:51:55,7.98,49.82,85.48,55,86,32.39
251,Muisne,EC,2020-06-27 04:51:55,0.6,-80.03,74.77,88,99,9.35
252,Bereda,ES,2020-06-27 04:51:55,43.27,-7.54,63.0,94,99,8.99
253,Muroto,JP,2020-06-27 04:51:55,33.28,134.15,75.2,94,75,5.82
254,Qobustan,AZ,2020-06-27 04:51:56,40.08,49.41,71.6,49,91,20.8
255,Vila Velha,BR,2020-06-27 04:51:56,-20.33,-40.29,66.0,93,40,3.36
256,Chimbote,PE,2020-06-27 04:51:56,-9.09,-78.58,62.11,87,66,7.45
257,Hellvik,NO,2020-06-27 04:51:56,59.92,5.78,71.01,74,0,3.29
258,Tungor,RU,2020-06-27 04:51:56,53.38,142.96,53.83,81,96,7.2
259,Marzuq,YE,2020-06-27 04:51:56,14.4,46.47,90.07,19,84,4.21
260,Codrington,AU,2020-06-27 04:51:56,-38.27,141.97,54.45,65,92,7.29
261,Pauini,BR,2020-06-27 04:51:56,-7.71,-66.98,75.49,78,95,1.25
262,Bundaberg,AU,2020-06-27 04:51:56,-24.85,152.35,71.6,53,75,18.34
263,Yerbogachen,RU,2020-06-27 04:51:56,61.28,108.01,78.08,38,29,4.74
264,Georgetown,MY,2020-06-27 04:51:00,5.41,100.34,87.8,66,20,8.05
265,Srednekolymsk,RU,2020-06-27 04:51:57,67.45,153.68,64.99,31,7,12.91
266,Farah,AF,2020-06-27 04:51:57,32.5,62.5,91.76,11,0,9.06
267,Chuy,UY,2020-06-27 04:51:03,-33.7,-53.46,44.29,74,100,5.53
268,Calabozo,VE,2020-06-27 04:51:57,8.92,-67.43,72.55,93,89,4.74
269,Arman,RU,2020-06-27 04:51:57,59.7,150.17,59.0,56,0,11.23
270,Torbay,CA,2020-06-27 04:51:57,47.67,-52.73,61.0,82,75,11.41
271,Galveston,US,2020-06-27 04:51:57,29.37,-94.97,84.0,88,90,11.41
272,Papagaios,BR,2020-06-27 04:51:57,-19.45,-44.75,59.59,88,20,4.56
273,Sao Gabriel Da Cachoeira,BR,2020-06-27 04:51:57,-0.13,-67.09,72.5,97,63,1.52
274,Richards Bay,ZA,2020-06-27 04:51:58,-28.78,32.04,64.2,78,7,12.39
275,Morro Bay,US,2020-06-27 04:51:58,35.37,-120.85,60.01,95,16,2.3
276,Myitkyina,MM,2020-06-27 04:51:58,25.38,97.4,75.78,96,100,1.05
277,Xichang,CN,2020-06-27 04:51:58,27.9,102.26,80.87,62,86,6.6
278,Flinders,AU,2020-06-27 04:51:58,-34.58,150.86,62.01,59,31,3.0
279,San Andres,CO,2020-06-27 04:50:09,12.58,-81.7,84.2,79,75,16.11
280,Khorinsk,RU,2020-06-27 04:51:58,52.17,109.77,84.43,25,38,1.92
281,Kieta,PG,2020-06-27 04:51:58,-6.22,155.63,78.75,85,95,7.4
282,Dehloran,IR,2020-06-27 04:51:58,32.69,47.27,101.35,8,0,2.19
283,Rubtsovsk,RU,2020-06-27 04:51:58,51.5,81.25,83.79,32,49,19.46
284,Grindavik,IS,2020-06-27 04:51:59,63.84,-22.43,48.2,100,75,8.05
285,Stryn,NO,2020-06-27 04:51:59,61.9,6.72,64.4,77,0,13.87
286,Ipameri,BR,2020-06-27 04:51:05,-17.72,-48.16,62.22,68,26,5.35
287,Sjovegan,NO,2020-06-27 04:51:59,68.87,17.85,48.2,76,40,10.29
288,Nsoko,SZ,2020-06-27 04:51:59,-27.03,31.95,44.6,100,0,1.12
289,Xuanhua,CN,2020-06-27 04:51:59,40.61,115.04,87.85,21,0,4.12
290,Luxor,EG,2020-06-27 04:51:59,25.7,32.64,82.09,28,0,5.28
291,Pierre,US,2020-06-27 04:51:11,44.37,-100.35,70.0,72,1,9.42
292,Mikhaylovka,RU,2020-06-27 04:51:59,50.06,43.24,70.0,53,0,1.01
293,Saint-Joseph,RE,2020-06-27 04:51:59,-21.37,55.62,73.0,64,12,5.82
294,Naron,ES,2020-06-27 04:52:00,43.52,-8.15,66.99,79,99,11.01
295,Borovoy,RU,2020-06-27 04:52:00,55.43,86.08,77.0,53,0,8.95
296,Bilma,NE,2020-06-27 04:52:00,18.69,12.92,80.51,17,100,4.79
297,Porto Walter,BR,2020-06-27 04:52:00,-8.27,-72.74,72.34,91,71,1.41
298,Bayji,IQ,2020-06-27 04:52:00,34.93,43.49,96.93,18,0,12.57
299,Porbandar,IN,2020-06-27 04:52:00,21.64,69.61,89.6,70,40,9.17
300,Kenai,US,2020-06-27 04:52:00,60.55,-151.26,57.2,67,1,13.87
301,Fort Nelson,CA,2020-06-27 04:52:00,58.81,-122.7,64.4,59,75,4.7
302,Birjand,IR,2020-06-27 04:52:00,32.87,59.22,78.8,27,0,18.34
303,Los Llanos De Aridane,ES,2020-06-27 04:52:00,28.66,-17.92,71.6,64,75,16.11
304,Sao Joao Da Barra,BR,2020-06-27 04:52:00,-21.64,-41.05,68.09,94,10,5.19
305,Namatanai,PG,2020-06-27 04:52:00,-3.67,152.43,77.43,90,91,14.47
306,Ada,US,2020-06-27 04:52:00,43.42,-116.13,84.2,25,1,4.7
307,Outjo,NA,2020-06-27 04:52:01,-20.12,16.15,43.75,56,0,5.39
