City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
70,Atasu,KZ,48.68,71.64,57.94,48,50,15.68,scattered clouds,0.0,0
71,Karratha,AU,-20.74,116.85,79.34,20,0,13.35,clear sky,0.0,0
72,Saint-Philippe,RE,-21.36,55.77,68.0,77,52,5.82,light rain,0.13,0
73,Butaritari,KI,3.07,172.79,82.63,75,31,13.53,scattered clouds,0.0,0
74,Havoysund,NO,71.0,24.66,42.8,87,100,5.82,overcast clouds,0.0,0
75,Raga,SS,8.46,25.68,69.35,94,100,3.76,overcast clouds,0.0,0
76,Hithadhoo,MV,-0.6,73.08,84.79,69,39,7.05,scattered clouds,0.0,0
77,Tasiilaq,GL,65.61,-37.64,41.0,93,100,1.12,light rain,0.0,0
78,Port Elizabeth,ZA,-33.92,25.57,59.0,62,20,25.28,few clouds,0.0,0
79,Puerto Ayora,EC,-0.74,-90.35,70.0,94,27,1.99,scattered clouds,0.0,0
80,Luderitz,NA,-26.65,15.16,55.4,62,0,13.87,clear sky,0.0,0
81,Qaanaaq,GL,77.48,-69.36,38.95,73,0,2.35,clear sky,0.0,0
82,Dalvik,IS,65.97,-18.53,46.4,100,90,1.92,overcast clouds,0.0,0
83,Thompson,CA,55.74,-97.86,60.8,93,90,6.93,light rain,0.0,0
84,Sorong,ID,-0.88,131.25,81.82,78,100,6.51,light rain,0.19,0
85,Pochinki,RU,54.7,44.87,60.39,90,0,5.12,clear sky,0.0,0
86,Comal,US,29.82,-98.3,81.0,81,97,8.01,light rain,0.23,0
87,Nalut,LY,30.33,10.85,82.29,22,0,12.21,clear sky,0.0,0
88,Batemans Bay,AU,-35.72,150.18,60.01,50,0,1.01,clear sky,0.0,0
89,Brae,GB,60.4,-1.35,55.4,100,76,17.22,broken clouds,0.0,0
90,Kiyasovo,RU,56.35,53.12,51.01,84,75,4.0,broken clouds,0.0,0
91,Bardiyah,LY,31.76,25.09,70.81,88,0,10.92,clear sky,0.0,0
92,Abha,SA,18.22,42.51,71.6,22,76,6.13,broken clouds,0.0,0
93,Placido De Castro,BR,-10.34,-67.19,71.67,96,68,2.46,broken clouds,0.0,0
94,Opelousas,US,30.53,-92.08,81.0,88,1,6.93,clear sky,0.0,0
95,Busselton,AU,-33.65,115.33,64.99,49,78,17.11,broken clouds,0.0,0
96,Camana,PE,-16.62,-72.71,61.3,80,8,5.5,clear sky,0.0,0
97,Esperance,AU,-33.87,121.9,66.2,55,0,17.22,clear sky,0.0,0
98,Vao,NC,-22.67,167.48,69.89,64,0,13.4,clear sky,0.0,0
99,Seymchan,RU,62.88,152.43,74.61,32,36,14.12,scattered clouds,0.0,0
100,Leningradskiy,RU,69.38,178.42,32.22,98,100,7.81,snow,0.0,1
101,Solnechnyy,RU,50.72,136.63,73.81,42,12,6.35,few clouds,0.0,0
102,Ranau,MY,5.95,116.66,78.8,83,20,4.7,few clouds,0.0,0
103,Mount Isa,AU,-20.73,139.5,75.2,25,0,5.82,clear sky,0.0,0
104,Tromso,NO,69.65,18.96,44.6,87,19,10.29,few clouds,0.0,0
105,Kipini,KE,-2.53,40.53,77.14,86,30,14.79,light rain,0.26,0
