City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
386,Manzil Salim,TN,66.2,few clouds,35.86,8.48,mohamed ben khlil omri
394,Bumbuna,SL,72.21,overcast clouds,9.05,-11.73,Joel Inn
397,Palmer,US,69.01,clear sky,42.16,-72.33,Wedgewood Motel
411,Tonantins,BR,73.53,overcast clouds,-2.87,-67.8,Hotel Rei Davi
414,Pio Ix,BR,67.26,broken clouds,-6.84,-40.58,Hotel Central
416,Saint-Denis,FR,72.0,broken clouds,48.92,2.33,Appart'City Paris Clichy Mairie - Appart Hôtel
418,Mahon,ES,71.6,clear sky,39.89,4.27,ARTIEM Capri
423,Zlitan,LY,70.95,clear sky,32.47,14.57,القسم الداخلي للجامعة الأسمرية
425,Zeya,RU,72.36,overcast clouds,53.75,127.27,Kapital Inn
428,Sao Filipe,CV,73.6,broken clouds,14.9,-24.5,Tortuga B&B
436,Pacifica,US,66.99,few clouds,37.61,-122.49,"Pacifica Lighthouse, Trademark Collection by Wyndham"
437,Hovd,MN,66.96,clear sky,48.01,91.64,Hotel Khovd
455,Krasnoselkup,RU,65.16,overcast clouds,65.7,82.47,Krasnosel'kupnefteprodukt
459,Gombong,ID,73.0,few clouds,-7.61,109.51,Grafika Hotel Dan Restoran
460,Pinerolo,IT,69.01,scattered clouds,44.88,7.35,Glicini Hotel
463,Minden,DE,68.0,overcast clouds,52.28,8.92,Victoria Hotel Minden
468,Vila Velha,BR,70.0,overcast clouds,-20.33,-40.29,Hotel Vitória Palace
474,Ampanihy,MG,66.88,scattered clouds,-24.7,44.75,Angora Hotel
475,Awbari,LY,74.48,clear sky,26.59,12.78,فندق أوباري
478,Rovigo,IT,69.01,clear sky,45.08,11.79,Best Western Hotel Cristallo
479,Iquitos,PE,72.9,overcast clouds,-3.75,-73.25,Cortez Malaga Techy Caroly
480,San Antonio Del Tachira,VE,71.85,clear sky,7.81,-72.44,Motel El Castillo
486,Talnakh,RU,68.0,broken clouds,69.49,88.4,Talnakh Hotel
488,Erenhot,CN,73.45,clear sky,43.65,111.98,Erenhot Rurouni Youth Hostel
489,Casablanca,MA,69.01,scattered clouds,33.59,-7.62,Hotel Moroccan House Casablanca
511,Fonte Boa,BR,73.27,few clouds,-2.5,-66.27,
521,Gamba,GA,69.96,scattered clouds,-2.65,10.0,
522,Maragogi,BR,74.37,overcast clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
529,Touros,BR,73.4,broken clouds,-5.2,-35.46,INN NEW HORIZON
541,Cabedelo,BR,73.4,broken clouds,-6.98,-34.83,Lua Mansa Pousada
545,Altay,CN,74.88,clear sky,47.87,88.12,Jinqiao Hotel
